supply_ID,Food_id,supplier_id,Food_Quantity,restocking_date,date_of_delivery
1,1,1,70,2023-01-01,2023-01-02
2,2,2,200,2023-01-03,2023-01-04
3,3,3,150,2023-01-05,2023-01-06
4,4,4,120,2023-01-07,2023-01-08
5,5,5,130,2023-01-09,2023-01-10
6,6,6,140,2023-01-11,2023-01-12
7,7,7,110,2023-01-13,2023-01-14
8,8,8,160,2023-01-15,2023-01-16
9,9,9,170,2023-01-17,2023-01-18
10,10,10,180,2023-01-19,2023-01-20
11,11,11,190,2023-01-21,2023-01-22
12,12,12,210,2023-01-23,2023-01-24
13,13,13,220,2023-01-25,2023-01-26
14,14,14,230,2023-01-27,2023-01-28
15,15,15,240,2023-01-29,2023-01-30
16,16,16,250,2023-02-01,2023-02-02
17,17,17,260,2023-02-03,2023-02-04
18,18,18,270,2023-02-05,2023-02-06
19,19,19,280,2023-02-07,2023-02-08
20,20,20,290,2023-02-09,2023-02-10
21,21,21,300,2023-02-11,2023-02-12
22,22,22,310,2023-02-13,2023-02-14
23,23,23,320,2023-02-15,2023-02-16
24,24,24,330,2023-02-17,2023-02-18
25,25,25,340,2023-02-19,2023-02-20
