Wildlife_ID,Food_ID,Quantity_Supplied,Date_Supplied
1,1,10,2023-01-01
1,1,10,2023-01-01
1,1,10,2023-01-01
2,2,20,2023-01-02
3,3,15,2023-01-03
4,4,12,2023-01-04
5,5,13,2023-01-05
6,6,14,2023-01-06
7,7,11,2023-01-07
8,8,16,2023-01-08
9,9,17,2023-01-09
10,10,18,2023-01-10
11,11,19,2023-01-11
12,12,21,2023-01-12
13,13,22,2023-01-13
14,14,23,2023-01-14
15,15,24,2023-01-15
16,16,25,2023-01-16
17,17,26,2023-01-17
18,18,27,2023-01-18
19,19,28,2023-01-19
20,20,29,2023-01-20
21,21,30,2023-01-21
22,22,31,2023-01-22
23,23,32,2023-01-23
24,24,33,2023-01-24
25,25,34,2023-01-25
